REF_DATE,POWER,Trend,Seasonal,Residual
1977-02-01,26614955.0,25518259.208333336,1.0405167960449022,1.0023643141262495
1977-03-01,27502960.0,25720493.375,1.0794008712993697,0.9906434624728208
1977-04-01,25075046.0,25889041.666666664,0.9757493991878087,0.9926301708706131
1977-05-01,24200986.0,26065304.874999996,0.9561697127631082,0.9710358595262317
1977-06-01,23277124.0,26278721.374999996,0.9091379497536417,0.9743058342857857
1977-07-01,23835750.0,26503005.041666664,0.9246251560228697,0.9726755462110971
1977-08-01,24459653.0,26759850.333333336,0.939372975423802,0.9730351959174101
1977-09-01,23625967.0,27048727.5,0.9049564213839847,0.965195055222341
1977-10-01,26596192.0,27243261.75,0.9834610216746326,0.9926661315647068
1977-11-01,28388125.0,27343107.708333343,1.0245096085262666,1.0133810989532614
1977-12-01,32338871.0,27421122.58333334,1.1120136790436534,1.0605459604474063
1978-01-01,33375900.0,27465892.45833334,1.1500864088759617,1.0565956030126247
1978-02-01,30268305.0,27513382.333333336,1.0405167960449022,1.057292187703245
1978-03-01,30782662.0,27620432.41666667,1.0794008712993697,1.0325068365716539
1978-04-01,26464166.0,27731633.62500001,0.9757493991878087,0.978012635241151
1978-05-01,25208169.0,27806921.166666668,0.9561697127631082,0.9480983987048435
1978-06-01,24142298.0,27904837.375,0.9091379497536417,0.9516326274869583
1978-07-01,24045053.0,28028431.916666668,0.9246251560228697,0.9278146643195068
1978-08-01,25390107.0,28152538.124999996,0.939372975423802,0.9600832964589509
1978-09-01,25264715.0,28248371.333333336,0.9049564213839847,0.9883103055007334
1978-10-01,27626273.0,28355166.541666668,0.9834610216746326,0.9906789721449608
1978-11-01,29164945.0,28533966.499999996,1.0245096085262666,0.9976609621502593
1978-12-01,33912040.0,28704035.91666667,1.1120136790436534,1.0624312133764633
1979-01-01,34769000.0,28843070.583333336,1.1500864088759617,1.048142270651412
1979-02-01,31853754.0,28974777.041666668,1.0405167960449022,1.0565533320321299
1979-03-01,31497210.0,29054889.583333343,1.0794008712993697,1.0043153311562238
1979-04-01,28312703.0,29149842.583333336,0.9757493991878087,0.9954210647438263
1979-05-01,27650831.0,29302413.541666668,0.9561697127631082,0.986892416077315
1979-06-01,25781302.0,29366506.291666668,0.9091379497536417,0.9656567432007437
1979-07-01,25742881.0,29392436.958333336,0.9246251560228697,0.9472308821742863
1979-08-01,26853234.0,29500776.791666668,0.939372975423802,0.9690029133175706
1979-09-01,25724289.0,29685715.541666664,0.9049564213839847,0.9575648426323338
1979-10-01,29445571.0,29829057.66666667,0.9834610216746326,1.003744768776542
1979-11-01,31007350.0,29850467.749999996,1.0245096085262666,1.0139054903315796
1979-12-01,33607861.0,29833978.958333336,1.1120136790436534,1.0130236013322806
1980-01-01,35695515.0,29869004.416666668,1.1500864088759617,1.039112176172788
1980-02-01,33527395.0,29942656.249999996,1.0405167960449022,1.0761192284125047
1980-03-01,34262099.0,30037661.708333325,1.0794008712993697,1.056732536644911
1980-04-01,28988025.0,30159212.666666668,0.9757493991878087,0.9850546715444474
1980-05-01,27489351.0,30269757.25,0.9561697127631082,0.9497746316992437
1980-06-01,25547051.0,30440656.5,0.9091379497536417,0.9231174780177639
1980-07-01,26817743.0,30601450.333333343,0.9246251560228697,0.9477952099516388
1980-08-01,27546016.0,30613417.583333336,0.939372975423802,0.9578751750800627
1980-09-01,27311638.0,30600792.625,0.9049564213839847,0.9862508844170464
1980-10-01,30775445.0,30676714.833333336,0.9834610216746326,1.02008964799903
1980-11-01,32330546.0,30804060.708333336,1.0245096085262666,1.024445909229714
1980-12-01,36386247.0,30963855.583333343,1.1120136790436534,1.056749620360357
