,ds,yhat
684,2007-01-01,61551516.020834446
685,2007-02-01,55346578.85194507
686,2007-03-01,56597615.361798264
687,2007-04-01,50262422.07699585
688,2007-05-01,47734850.47655596
689,2007-06-01,46161730.910594285
690,2007-07-01,47979067.42999802
691,2007-08-01,48864710.4764874
692,2007-09-01,46434590.46794963
693,2007-10-01,50697092.990834564
694,2007-11-01,53887145.49093997
695,2007-12-01,59698562.848779626
