REF_DATE,VALUE
1970-06-01,15775000.0
1970-07-01,15680000.0
1970-08-01,15710000.0
1970-09-01,15744000.0
1970-10-01,17025000.0
1970-11-01,17493000.0
1970-12-01,19466000.0
1971-01-01,19888000.0
1971-02-01,17819000.0
1971-03-01,19131000.0
1971-04-01,17229000.0
1971-05-01,17133000.0
1971-06-01,16431000.0
1971-07-01,16087000.0
1971-08-01,16749000.0
1971-09-01,16885000.0
1971-10-01,18241000.0
1971-11-01,18945000.0
1971-12-01,20590000.0
1972-01-01,21165000.0
1972-02-01,20142000.0
1972-03-01,20725000.0
1972-04-01,18926000.0
1972-05-01,19175000.0
1972-06-01,18319000.0
1972-07-01,17950000.0
1972-08-01,18302000.0
1972-09-01,18440000.0
1972-10-01,20620000.0
1972-11-01,21384000.0
1972-12-01,22479000.0
1973-01-01,23819000.0
1973-02-01,21971000.0
1973-03-01,23065000.0
1973-04-01,21046000.0
1973-05-01,21026000.0
1973-06-01,20486000.0
1973-07-01,20688000.0
1973-08-01,20608000.0
1973-09-01,19674000.0
1973-10-01,21699000.0
1973-11-01,23437000.0
1973-12-01,24753000.0
1974-01-01,26301000.0
1974-02-01,23733000.0
1974-03-01,25638000.0
1974-04-01,22801000.0
1974-05-01,22582000.0
1974-06-01,20943000.0
1974-07-01,21329000.0
1974-08-01,21770000.0
1974-09-01,21168000.0
1974-10-01,23628000.0
1974-11-01,23841000.0
1974-12-01,25455000.0
1975-01-01,26579000.0
1975-02-01,23853000.0
1975-03-01,24950000.0
1975-04-01,22802000.0
1975-05-01,21377000.0
1975-06-01,20390000.0
1975-07-01,20267000.0
1975-08-01,20685000.0
1975-09-01,20400000.0
1975-10-01,22201000.0
1975-11-01,22941000.0
1975-12-01,26207000.0
1976-01-01,27549000.0
1976-02-01,25061000.0
1976-03-01,26839000.0
1976-04-01,23552000.0
1976-05-01,23525000.0
1976-06-01,22185000.0
1976-07-01,21200000.0
1976-08-01,21671000.0
1976-09-01,21561000.0
1976-10-01,24616000.0
1976-11-01,26138000.0
1976-12-01,29467000.0
1977-01-01,30864963.0
1977-02-01,26614955.0
1977-03-01,27502960.0
1977-04-01,25075046.0
1977-05-01,24200986.0
1977-06-01,23277124.0
1977-07-01,23835750.0
1977-08-01,24459653.0
1977-09-01,23625967.0
1977-10-01,26596192.0
1977-11-01,28388125.0
1977-12-01,32338871.0
1978-01-01,33375900.0
1978-02-01,30268305.0
1978-03-01,30782662.0
1978-04-01,26464166.0
1978-05-01,25208169.0
1978-06-01,24142298.0
1978-07-01,24045053.0
1978-08-01,25390107.0
1978-09-01,25264715.0
1978-10-01,27626273.0
1978-11-01,29164945.0
1978-12-01,33912040.0
1979-01-01,34769000.0
1979-02-01,31853754.0
1979-03-01,31497210.0
1979-04-01,28312703.0
1979-05-01,27650831.0
1979-06-01,25781302.0
1979-07-01,25742881.0
1979-08-01,26853234.0
1979-09-01,25724289.0
1979-10-01,29445571.0
1979-11-01,31007350.0
1979-12-01,33607861.0
1980-01-01,35695515.0
1980-02-01,33527395.0
1980-03-01,34262099.0
1980-04-01,28988025.0
1980-05-01,27489351.0
1980-06-01,25547051.0
1980-07-01,26817743.0
1980-08-01,27546016.0
1980-09-01,27311638.0
1980-10-01,30775445.0
1980-11-01,32330546.0
1980-12-01,36386247.0
1981-01-01,36776181.0
1981-02-01,32733943.0
1981-03-01,34752552.0
1981-04-01,30319705.0
1981-05-01,29213972.0
1981-06-01,27657507.0
1981-07-01,28542357.0
1981-08-01,28809914.0
1981-09-01,28593600.0
1981-10-01,31878238.0
1981-11-01,33165629.0
1981-12-01,36087585.0
1982-01-01,39848885.0
1982-02-01,34278582.0
1982-03-01,34875671.0
1982-04-01,30981479.0
1982-05-01,28806649.0
1982-06-01,26313510.0
1982-07-01,26441716.0
1982-08-01,28310034.0
1982-09-01,27999235.0
1982-10-01,30666737.0
1982-11-01,32900389.0
1982-12-01,35062117.0
1983-01-01,36853125.0
1983-02-01,33556369.0
1983-03-01,34867085.0
1983-04-01,31196659.0
1983-05-01,29924965.0
1983-06-01,29176184.0
1983-07-01,29334737.0
1983-08-01,30803824.0
1983-09-01,30452856.0
1983-10-01,33083329.0
1983-11-01,35500208.0
1983-12-01,40715097.0
1984-01-01,41722192.0
1984-02-01,36180625.0
1984-03-01,38534282.0
1984-04-01,33362884.0
1984-05-01,33286125.0
1984-06-01,31172222.0
1984-07-01,31645740.0
1984-08-01,33744568.0
1984-09-01,31315534.0
1984-10-01,35291380.0
1984-11-01,37728976.0
1984-12-01,40868353.0
1985-01-01,43979602.0
1985-02-01,38595235.0
1985-03-01,40765444.0
1985-04-01,35272919.0
1985-05-01,33927711.0
1985-06-01,32077297.0
1985-07-01,33525184.0
1985-08-01,34537385.0
1985-09-01,33065203.0
1985-10-01,36152511.0
1985-11-01,40023030.0
1985-12-01,44490674.0
1986-01-01,45453955.0
1986-02-01,41349214.0
1986-03-01,40523560.0
1986-04-01,35552023.0
1986-05-01,34726911.0
1986-06-01,32724594.0
1986-07-01,33610315.0
1986-08-01,34551047.0
1986-09-01,34107474.0
